pos_x,pos_y,pos_z,box_pos_x,box_pos_y,box_pos_z,vel_x,vel_y,vel_z,t,change_pos,energy,collisions
-2.7690188276592393e-07,-1.4833519319721168e-08,4.632250550958331e-09,2.3098117234074852e-08,3.516648068027887e-08,4.632250550958434e-09,224.3122003353534,-107.88062726611447,-34.13858881880291,2.0999999999999998e-09,2.512362159505618e-09,2.093576243045189e-21,13
-2.7465876076257037e-07,-1.5912325592382313e-08,4.290864662770302e-09,2.5341239237428386e-08,3.408767440761772e-08,4.290864662770405e-09,224.3122003353534,-107.88062726611447,-34.13858881880291,2.11e-09,2.512362159505618e-09,2.093576243045189e-21,13
-2.724156387592168e-07,-1.6991131865043457e-08,3.949478774582273e-09,2.758436124078192e-08,3.3008868134956574e-08,3.949478774582376e-09,224.3122003353534,-107.88062726611447,-34.13858881880291,2.1199999999999997e-09,2.512362159505618e-09,2.093576243045189e-21,13
-2.7017251675586326e-07,-1.80699381377046e-08,3.6080928863942444e-09,2.9827483244135454e-08,3.193006186229543e-08,3.608092886394347e-09,224.3122003353534,-107.88062726611447,-34.13858881880291,2.13e-09,2.512362159505618e-09,2.093576243045189e-21,13
-2.679293947525097e-07,-1.9148744410365744e-08,3.2667069982062155e-09,3.207060524748899e-08,3.085125558963428e-08,3.266706998206318e-09,224.3122003353534,-107.88062726611447,-34.13858881880291,2.14e-09,2.512362159505618e-09,2.093576243045189e-21,13
-2.6568627274915614e-07,-2.0227550683026887e-08,2.9253211100181866e-09,3.431372725084252e-08,2.9772449316973137e-08,2.925321110018289e-09,224.3122003353534,-107.88062726611447,-34.13858881880291,2.15e-09,2.512362159505618e-09,2.093576243045189e-21,13
-2.634431507458026e-07,-2.130635695568803e-08,2.5839352218301577e-09,3.655684925419605e-08,2.8693643044311993e-08,2.5839352218302602e-09,224.3122003353534,-107.88062726611447,-34.13858881880291,2.16e-09,2.512362159505618e-09,2.093576243045189e-21,13
-2.6120002874244903e-07,-2.2385163228349174e-08,2.2425493336421288e-09,3.879997125754958e-08,2.761483677165085e-08,2.2425493336422313e-09,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.1699999999999997e-09,2.512362159505618e-09,2.093576243045189e-21,14
-2.631473881127518e-07,-2.5113462776998694e-08,1.3880365011492734e-09,3.685261188724678e-08,2.488653722300133e-08,1.388036501149376e-09,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.18e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.650947474830546e-07,-2.7841762325648215e-08,5.335236686564179e-10,3.490525251694398e-08,2.215823767435181e-08,5.335236686565205e-10,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.1899999999999997e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.670421068533574e-07,-3.057006187429774e-08,-3.2098916383643755e-10,3.2957893146641175e-08,1.942993812570229e-08,-3.20989163836335e-10,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.2e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.6898946622366016e-07,-3.329836142294726e-08,-1.1755019963292931e-09,3.101053377633837e-08,1.670163857705277e-08,-1.1755019963291905e-09,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.21e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.7093682559396294e-07,-3.602666097159678e-08,-2.0300148288221485e-09,2.906317440603557e-08,1.3973339028403249e-08,-2.030014828822046e-09,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.2199999999999998e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.728841849642657e-07,-3.87549605202463e-08,-2.884527661315004e-09,2.7115815035732766e-08,1.1245039479753729e-08,-2.8845276613149013e-09,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.23e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.748315443345685e-07,-4.148326006889582e-08,-3.739040493807859e-09,2.5168455665429964e-08,8.516739931104209e-09,-3.739040493807757e-09,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.2399999999999997e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.767789037048713e-07,-4.421155961754534e-08,-4.593553326300715e-09,2.322109629512716e-08,5.788440382454688e-09,-4.5935533263006124e-09,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.25e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.7872626307517407e-07,-4.693985916619486e-08,-5.448066158793571e-09,2.1273736924824358e-08,3.060140833805167e-09,-5.448066158793468e-09,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.26e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.8067362244547686e-07,-4.966815871484438e-08,-6.3025789912864265e-09,1.9326377554521555e-08,3.318412851556458e-10,-6.302578991286324e-09,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.27e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.8262098181577964e-07,-5.23964582634939e-08,-7.157091823779282e-09,1.7379018184218753e-08,-2.396458263493875e-09,-7.15709182377918e-09,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.28e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.845683411860824e-07,-5.512475781214342e-08,-8.011604656272138e-09,1.543165881391595e-08,-5.124757812143396e-09,-8.011604656272036e-09,-194.73593703028035,-272.82995486495213,-85.45128324928555,2.2899999999999997e-09,3.4591934211839435e-09,3.9689350050812245e-21,14
-2.865157005563852e-07,-5.785305736079294e-08,-8.866117488764994e-09,1.3484299443613147e-08,-7.853057360792917e-09,-8.866117488764891e-09,310.74776320596436,-383.6621961001905,-1.2024501139276331,2.3e-09,3.4591934211839435e-09,3.9689350050812245e-21,15
-2.834082229243256e-07,-6.168967932179485e-08,-8.87814198990427e-09,1.659177707567279e-08,-1.1689679321794822e-08,-8.878141989904167e-09,310.74776320596436,-383.6621961001905,-1.2024501139276331,2.3099999999999997e-09,4.937228969170942e-09,8.085201194008149e-21,15
-2.8030074529226596e-07,-6.552630128279675e-08,-8.890166491043545e-09,1.9699254707732435e-08,-1.552630128279673e-08,-8.890166491043443e-09,310.74776320596436,-383.6621961001905,-1.2024501139276331,2.32e-09,4.937228969170942e-09,8.085201194008149e-21,15
-2.7719326766020633e-07,-6.936292324379866e-08,-8.902190992182821e-09,2.280673233979208e-08,-1.9362923243798633e-08,-8.902190992182719e-09,310.74776320596436,-383.6621961001905,-1.2024501139276331,2.33e-09,4.937228969170942e-09,8.085201194008149e-21,15
-2.740857900281467e-07,-7.319954520480056e-08,-8.914215493322097e-09,2.5914209971851722e-08,-2.3199545204800536e-08,-8.914215493321994e-09,-88.29954973330166,108.44257197911413,16.633846944714776,2.3399999999999998e-09,4.937228969170942e-09,8.085201194008149e-21,17
-2.749687855254797e-07,-7.211511948500941e-08,-8.74787702387495e-09,2.5031214474518706e-08,-2.2115119485009396e-08,-8.747877023874847e-09,-88.29954973330166,108.44257197911413,16.633846944714776,2.35e-09,1.4083070249320409e-09,6.57838043571412e-22,17
-2.7585178102281274e-07,-7.103069376521827e-08,-8.581538554427802e-09,2.414821897718569e-08,-2.1030693765218256e-08,-8.581538554427699e-09,-88.29954973330166,108.44257197911413,16.633846944714776,2.3599999999999997e-09,1.4083070249320409e-09,6.57838043571412e-22,17
-2.7673477652014576e-07,-6.994626804542712e-08,-8.415200084980654e-09,2.3265223479852673e-08,-1.9946268045427116e-08,-8.415200084980551e-09,-88.29954973330166,108.44257197911413,16.633846944714776,2.37e-09,1.4083070249320409e-09,6.57838043571412e-22,17
-2.776177720174788e-07,-6.886184232563597e-08,-8.248861615533506e-09,2.2382227982519657e-08,-1.8861842325635976e-08,-8.248861615533404e-09,-88.29954973330166,108.44257197911413,16.633846944714776,2.38e-09,1.4083070249320409e-09,6.57838043571412e-22,17
-2.785007675148118e-07,-6.777741660584483e-08,-8.082523146086358e-09,2.149923248518664e-08,-1.7777416605844836e-08,-8.082523146086256e-09,-88.29954973330166,108.44257197911413,16.633846944714776,2.39e-09,1.4083070249320409e-09,6.57838043571412e-22,17
-2.793837630121448e-07,-6.669299088605368e-08,-7.91618467663921e-09,2.0616236987853624e-08,-1.6692990886053697e-08,-7.916184676639108e-09,-50.496506241974394,-28.316138385734796,53.86538374236888,2.4e-09,1.4083070249320409e-09,6.57838043571412e-22,18
-2.7988872807456457e-07,-6.697615226991103e-08,-7.377530839215522e-09,2.011127192543388e-08,-1.6976152269911044e-08,-7.3775308392154195e-09,-50.496506241974394,-28.316138385734796,53.86538374236888,2.4099999999999997e-09,7.907705357079574e-10,2.0740788000387347e-22,18
-2.803936931369843e-07,-6.725931365376838e-08,-6.838877001791833e-09,1.9606306863014138e-08,-1.725931365376839e-08,-6.838877001791731e-09,-50.496506241974394,-28.316138385734796,53.86538374236888,2.42e-09,7.907705357079574e-10,2.0740788000387347e-22,18
-2.808986581994041e-07,-6.754247503762573e-08,-6.300223164368145e-09,1.9101341800594395e-08,-1.7542475037625738e-08,-6.300223164368042e-09,-50.496506241974394,-28.316138385734796,53.86538374236888,2.4299999999999997e-09,7.907705357079574e-10,2.0740788000387347e-22,18
